City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Butaritari,KI,3.0707,172.7902,83.7,69,14,17.07,few clouds
79,Port Alfred,ZA,-33.5906,26.891,62.69,80,88,13.35,overcast clouds
80,Santa Rosa,PH,14.3122,121.1114,79.11,83,9,8.41,clear sky
81,Riyadh,SA,24.6877,46.7219,73.54,27,100,6.6,overcast clouds
82,Albany,US,42.6001,-73.9662,55.78,66,20,1.01,few clouds
83,Lebu,CL,-37.6167,-73.65,56.21,73,100,17.65,overcast clouds
84,Marzuq,YE,14.4,46.4667,69.6,49,5,1.72,clear sky
85,Namatanai,PG,-3.6667,152.4333,82.18,71,85,6.6,overcast clouds
86,Vilyuysk,RU,63.7553,121.6247,4.87,97,81,4.63,broken clouds
87,Adrar,MR,20.5022,-10.0711,78.57,24,52,10.74,broken clouds
88,Muisne,EC,0.6,-80.0333,80.71,77,84,12.35,broken clouds
89,Waitati,NZ,-45.75,170.5667,55.22,92,100,9.24,overcast clouds
90,Port Blair,IN,11.6667,92.75,81.07,82,39,6.82,scattered clouds
91,Tazovskiy,RU,67.4667,78.7,26.06,93,100,10.96,overcast clouds
92,Lusambo,CD,-4.9667,23.45,68.95,90,80,0.09,broken clouds
93,Buraydah,SA,26.326,43.975,79.25,18,0,13.4,clear sky
94,Leningradskiy,RU,69.3833,178.4167,-12.05,93,22,5.23,few clouds
95,Cidreira,BR,-30.1811,-50.2056,68.99,83,75,21.07,broken clouds
96,Pringsewu,ID,-5.3582,104.9744,75.34,96,100,3.27,light rain
97,Kaitangata,NZ,-46.2817,169.8464,59.52,71,81,10.54,broken clouds
98,Hamilton,US,39.1834,-84.5333,59.76,96,90,1.01,heavy intensity rain
99,Anloga,GH,5.7947,0.8973,82.62,78,89,11.16,overcast clouds
100,Knyaze-Volkonskoye,RU,48.4642,135.4567,30.54,75,22,5.57,few clouds
101,Bonoua,CI,5.2741,-3.595,80.22,89,100,6.46,overcast clouds
102,Vung Tau,VN,10.346,107.0843,79.95,82,100,13.87,overcast clouds
103,Busselton,AU,-33.65,115.3333,42.04,83,7,7.94,clear sky
104,Pisco,PE,-13.7,-76.2167,69.85,68,0,23.02,clear sky
105,Grants Pass,US,42.439,-123.3284,67.59,82,90,0.0,fog
106,Tateyama,JP,34.9833,139.8667,51.82,65,1,5.61,clear sky
107,Sabaudia,IT,41.3003,13.0282,59.9,71,98,5.32,overcast clouds
108,Geraldton,AU,-28.7667,114.6,46.81,87,0,8.05,clear sky
109,Russell,US,32.3502,-85.1999,58.12,82,99,10.07,overcast clouds
110,Vao,NC,-22.6667,167.4833,70.54,72,66,10.45,broken clouds
111,Cape Town,ZA,-33.9258,18.4232,65.08,82,20,1.01,few clouds
112,Rafai,CF,4.95,23.9167,69.06,98,100,3.44,overcast clouds
113,Hasaki,JP,35.7333,140.8333,43.2,56,0,4.43,clear sky
114,Itarema,BR,-2.9248,-39.9167,80.33,67,47,11.1,scattered clouds
115,Mahebourg,MU,-20.4081,57.7,72.25,100,75,1.14,broken clouds
116,Khatanga,RU,71.9667,102.5,3.2,84,100,10.0,overcast clouds
117,Murgab,TM,37.4966,61.9714,44.47,70,5,4.61,clear sky
118,Mehamn,NO,71.0357,27.8492,35.51,72,91,25.81,overcast clouds
119,Cabo San Lucas,MX,22.8909,-109.9124,92.52,63,0,6.8,clear sky
120,Shar,KZ,49.5886,81.0453,39.63,64,89,8.03,overcast clouds
121,Mount Gambier,AU,-37.8333,140.7667,42.71,93,75,5.75,broken clouds
122,Sept-Iles,CA,50.2001,-66.3821,52.32,43,20,4.61,few clouds
123,Kapaa,US,22.0752,-159.319,80.19,88,2,1.99,clear sky
124,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,100,90,3.44,light snow
125,Mogzon,RU,51.7435,111.9606,20.82,67,0,1.25,clear sky
126,Sovetsk,RU,55.0839,21.8785,45.41,73,66,7.85,broken clouds
127,Senador Jose Porfirio,BR,-2.5908,-51.9542,84.27,62,83,3.44,broken clouds
128,Bathsheba,BB,13.2167,-59.5167,84.81,61,20,13.8,few clouds
129,Neuquen,AR,-38.9516,-68.0591,87.69,25,0,3.44,clear sky
130,Dikson,RU,73.5069,80.5464,3.33,88,100,17.38,overcast clouds
131,Kloulklubed,PW,7.0419,134.2556,84.07,76,100,16.73,light rain
132,Paamiut,GL,61.994,-49.6678,32.68,90,88,8.86,overcast clouds
133,Batagay,RU,67.6333,134.6333,9.63,97,100,2.82,overcast clouds
134,Qeshm,IR,26.9581,56.2719,76.89,52,0,6.22,clear sky
135,Diego De Almagro,CL,-26.3667,-70.05,79.68,13,0,10.83,clear sky
136,Maine-Soroa,NE,13.2114,12.0241,86.52,12,24,6.78,few clouds
137,Harper,LR,4.375,-7.7169,77.31,85,99,6.71,overcast clouds
138,Kopavogur,IS,64.1123,-21.913,44.31,70,0,5.75,clear sky
139,Nantucket,US,41.2835,-70.0995,53.74,77,72,15.79,broken clouds
140,San Cristobal,VE,7.7669,-72.225,78.98,96,100,2.62,overcast clouds
141,Port Moresby,PG,-9.4431,147.1797,74.62,94,75,5.75,broken clouds
142,Nome,US,64.5011,-165.4064,26.67,80,90,19.57,light snow
143,Bobon,PH,12.5246,124.5636,78.85,87,45,11.21,scattered clouds
144,Eyl,SO,7.9803,49.8164,77.13,74,48,11.79,scattered clouds
145,College,US,64.8569,-147.8028,20.21,90,90,3.44,mist
146,Thinadhoo,MV,0.5333,72.9333,83.05,74,89,11.9,overcast clouds
147,Tiksi,RU,71.6872,128.8694,7.3,95,99,6.04,overcast clouds
148,Boca Do Acre,BR,-8.7522,-67.3978,87.73,51,79,1.1,broken clouds
149,Bethel,US,41.3712,-73.414,54.48,73,84,1.99,broken clouds
150,Hualmay,PE,-11.0964,-77.6139,67.91,73,72,12.48,broken clouds
151,Noumea,NC,-22.2763,166.4572,75.0,99,35,6.55,scattered clouds
152,Oda,JP,35.1833,132.5,52.72,73,73,7.02,broken clouds
153,Port Lavaca,US,28.615,-96.6261,76.3,23,0,19.6,clear sky
154,Port Elizabeth,ZA,-33.918,25.5701,57.09,79,21,9.15,few clouds
